wavelength,value
3681.00,0.7396
3680.00,0.7405
3679.00,0.7416
3678.00,0.7426
3677.00,0.7433
3676.00,0.7443
3675.00,0.7469
3674.00,0.7497
3673.00,0.7505
3672.00,0.7506
3671.00,0.7511
3670.00,0.7525
3669.00,0.7549
3668.00,0.7565
3667.00,0.7572
3666.00,0.7578
3665.00,0.7587
3664.00,0.7600
3663.00,0.7616
3662.00,0.7637
3661.00,0.7659
3660.00,0.7682
3659.00,0.7701
3658.00,0.7716
3657.00,0.7727
3656.00,0.7740
3655.00,0.7755
3654.00,0.7769
3653.00,0.7783
3652.00,0.7803
3651.00,0.7826
3650.00,0.7847
3649.00,0.7861
3648.00,0.7877
3647.00,0.7897
3646.00,0.7915
3645.00,0.7928
3644.00,0.7940
3643.00,0.7953
3642.00,0.7970
3641.00,0.7989
3640.00,0.8008
3639.00,0.8027
3638.00,0.8047
3637.00,0.8068
3636.00,0.8089
3635.00,0.8111
3634.00,0.8133
3633.00,0.8153
3632.00,0.8170
3631.00,0.8184
3630.00,0.8197
3629.00,0.8220
3628.00,0.8261
3627.00,0.8296
3626.00,0.8316
3625.00,0.8332
3624.00,0.8350
3623.00,0.8372
3622.00,0.8395
3621.00,0.8416
3620.00,0.8437
3619.00,0.8460
3618.00,0.8487
3617.00,0.8509
3616.00,0.8527
3615.00,0.8545
3614.00,0.8562
3613.00,0.8581
3612.00,0.8603
3611.00,0.8625
3610.00,0.8645
3609.00,0.8664
3608.00,0.8689
3607.00,0.8720
3606.00,0.8752
3605.00,0.8778
3604.00,0.8801
3603.00,0.8823
3602.00,0.8846
3601.00,0.8872
3600.00,0.8900
3599.00,0.8925
3598.00,0.8943
3597.00,0.8953
3596.00,0.8965
3595.00,0.8988
3594.00,0.9019
3593.00,0.9050
3592.00,0.9075
3591.00,0.9094
3590.00,0.9111
3589.00,0.9129
3588.00,0.9159
3587.00,0.9204
3586.00,0.9247
3585.00,0.9272
3584.00,0.9287
3583.00,0.9300
3582.00,0.9314
3581.00,0.9328
3580.00,0.9343
3579.00,0.9360
3578.00,0.9378
3577.00,0.9396
3576.00,0.9414
3575.00,0.9432
3574.00,0.9452
3573.00,0.9474
3572.00,0.9499
3571.00,0.9526
3570.00,0.9551
3569.00,0.9570
3568.00,0.9578
3567.00,0.9587
3566.00,0.9610
3565.00,0.9641
3564.00,0.9672
3563.00,0.9703
3562.00,0.9730
3561.00,0.9751
3560.00,0.9766
3559.00,0.9777
3558.00,0.9789
3557.00,0.9801
3556.00,0.9812
3555.00,0.9824
3554.00,0.9837
3553.00,0.9854
3552.00,0.9875
3551.00,0.9891
3550.00,0.9900
3549.00,0.9903
3548.00,0.9907
3547.00,0.9917
3546.00,0.9930
3545.00,0.9938
3544.00,0.9936
3543.00,0.9926
3542.00,0.9911
3541.00,0.9894
3540.00,0.9880
3539.00,0.9871
3538.00,0.9868
3537.00,0.9868
3536.00,0.9865
3535.00,0.9858
3534.00,0.9848
3533.00,0.9840
3532.00,0.9835
3531.00,0.9835
3530.00,0.9839
3529.00,0.9847
3528.00,0.9858
3527.00,0.9874
3526.00,0.9896
3525.00,0.9920
3524.00,0.9942
3523.00,0.9961
3522.00,0.9972
3521.00,0.9977
3520.00,0.9981
3519.00,0.9989
3518.00,1.0002
3517.00,1.0019
3516.00,1.0040
3515.00,1.0062
3514.00,1.0084
3513.00,1.0101
3512.00,1.0111
3511.00,1.0118
3510.00,1.0126
3509.00,1.0138
3508.00,1.0156
3507.00,1.0176
3506.00,1.0198
3505.00,1.0225
3504.00,1.0257
3503.00,1.0291
3502.00,1.0318
3501.00,1.0337
3500.00,1.0352
3499.00,1.0370
3498.00,1.0392
3497.00,1.0413
3496.00,1.0432
3495.00,1.0448
3494.00,1.0460
3493.00,1.0468
3492.00,1.0476
3491.00,1.0487
3490.00,1.0503
3489.00,1.0523
3488.00,1.0545
3487.00,1.0564
3486.00,1.0573
3485.00,1.0572
3484.00,1.0568
