wavelength,value
3681.00,0.6372
3680.00,0.6374
3679.00,0.6374
3678.00,0.6373
3677.00,0.6372
3676.00,0.6371
3675.00,0.6374
3674.00,0.6375
3673.00,0.6373
3672.00,0.6372
3671.00,0.6370
3670.00,0.6368
3669.00,0.6367
3668.00,0.6367
3667.00,0.6367
3666.00,0.6367
3665.00,0.6367
3664.00,0.6368
3663.00,0.6371
3662.00,0.6376
3661.00,0.6382
3660.00,0.6387
3659.00,0.6389
3658.00,0.6391
3657.00,0.6390
3656.00,0.6388
3655.00,0.6385
3654.00,0.6383
3653.00,0.6386
3652.00,0.6393
3651.00,0.6401
3650.00,0.6406
3649.00,0.6405
3648.00,0.6405
3647.00,0.6408
3646.00,0.6412
3645.00,0.6415
3644.00,0.6418
3643.00,0.6422
3642.00,0.6427
3641.00,0.6431
3640.00,0.6436
3639.00,0.6441
3638.00,0.6445
3637.00,0.6447
3636.00,0.6450
3635.00,0.6454
3634.00,0.6459
3633.00,0.6463
3632.00,0.6466
3631.00,0.6467
3630.00,0.6469
3629.00,0.6475
3628.00,0.6490
3627.00,0.6505
3626.00,0.6517
3625.00,0.6526
3624.00,0.6535
3623.00,0.6545
3622.00,0.6554
3621.00,0.6563
3620.00,0.6571
3619.00,0.6577
3618.00,0.6584
3617.00,0.6593
3616.00,0.6604
3615.00,0.6615
3614.00,0.6625
3613.00,0.6633
3612.00,0.6641
3611.00,0.6649
3610.00,0.6657
3609.00,0.6667
3608.00,0.6679
3607.00,0.6695
3606.00,0.6710
3605.00,0.6724
3604.00,0.6736
3603.00,0.6748
3602.00,0.6760
3601.00,0.6774
3600.00,0.6789
3599.00,0.6801
3598.00,0.6810
3597.00,0.6816
3596.00,0.6824
3595.00,0.6838
3594.00,0.6856
3593.00,0.6874
3592.00,0.6890
3591.00,0.6902
3590.00,0.6912
3589.00,0.6924
3588.00,0.6943
3587.00,0.6972
3586.00,0.6999
3585.00,0.7018
3584.00,0.7031
3583.00,0.7043
3582.00,0.7055
3581.00,0.7066
3580.00,0.7077
3579.00,0.7089
3578.00,0.7101
3577.00,0.7116
3576.00,0.7132
3575.00,0.7150
3574.00,0.7168
3573.00,0.7186
3572.00,0.7203
3571.00,0.7219
3570.00,0.7234
3569.00,0.7244
3568.00,0.7252
3567.00,0.7264
3566.00,0.7287
3565.00,0.7315
3564.00,0.7341
3563.00,0.7366
3562.00,0.7388
3561.00,0.7409
3560.00,0.7428
3559.00,0.7445
3558.00,0.7462
3557.00,0.7476
3556.00,0.7488
3555.00,0.7501
3554.00,0.7516
3553.00,0.7536
3552.00,0.7558
3551.00,0.7575
3550.00,0.7586
3549.00,0.7593
3548.00,0.7599
3547.00,0.7608
3546.00,0.7617
3545.00,0.7622
3544.00,0.7620
3543.00,0.7611
3542.00,0.7598
3541.00,0.7584
3540.00,0.7570
3539.00,0.7558
3538.00,0.7550
3537.00,0.7545
3536.00,0.7540
3535.00,0.7533
3534.00,0.7527
3533.00,0.7522
3532.00,0.7518
3531.00,0.7517
3530.00,0.7518
3529.00,0.7524
3528.00,0.7534
3527.00,0.7548
3526.00,0.7568
3525.00,0.7590
3524.00,0.7611
3523.00,0.7629
3522.00,0.7641
3521.00,0.7650
3520.00,0.7660
3519.00,0.7676
3518.00,0.7697
3517.00,0.7721
3516.00,0.7746
3515.00,0.7773
3514.00,0.7800
3513.00,0.7824
3512.00,0.7846
3511.00,0.7866
3510.00,0.7888
3509.00,0.7914
3508.00,0.7942
3507.00,0.7972
3506.00,0.8003
3505.00,0.8038
3504.00,0.8080
3503.00,0.8125
3502.00,0.8166
3501.00,0.8198
3500.00,0.8225
3499.00,0.8254
3498.00,0.8286
3497.00,0.8321
3496.00,0.8355
3495.00,0.8388
3494.00,0.8419
3493.00,0.8449
3492.00,0.8478
3491.00,0.8508
3490.00,0.8539
3489.00,0.8572
3488.00,0.8608
3487.00,0.8640
3486.00,0.8667
3485.00,0.8687
3484.00,0.8705
3483.00,0.8726
3482.00,0.8754
3481.00,0.8785
3480.00,0.8812
3479.00,0.8830
3478.00,0.8842
3477.00,0.8850
3476.00,0.8859
3475.00,0.8869
3474.00,0.8881
3473.00,0.8894
3472.00,0.8910
3471.00,0.8927
3470.00,0.8945
3469.00,0.8961
3468.00,0.8972
3467.00,0.8978
3466.00,0.8979
3465.00,0.8978
3464.00,0.8976
3463.00,0.8977
3462.00,0.8981
3461.00,0.8989
3460.00,0.8996
3459.00,0.8999
3458.00,0.8998
3457.00,0.8996
3456.00,0.8996
3455.00,0.8998
3454.00,0.9002
3453.00,0.9005
3452.00,0.9010
3451.00,0.9016
3450.00,0.9024
3449.00,0.9036
3448.00,0.9050
3447.00,0.9065
3446.00,0.9078
3445.00,0.9088
3444.00,0.9099
3443.00,0.9112
3442.00,0.9131
3441.00,0.9154
3440.00,0.9182
3439.00,0.9216
3438.00,0.9255
3437.00,0.9296
3436.00,0.9335
3435.00,0.9371
3434.00,0.9405
3433.00,0.9439
3432.00,0.9478
3431.00,0.9521
3430.00,0.9567
3429.00,0.9611
3428.00,0.9652
3427.00,0.9692
3426.00,0.9733
3425.00,0.9777
3424.00,0.9823
3423.00,0.9872
3422.00,0.9926
3421.00,0.9981
3420.00,1.0034
3419.00,1.0080
3418.00,1.0120
3417.00,1.0158
3416.00,1.0198
3415.00,1.0240
3414.00,1.0280
3413.00,1.0313
3412.00,1.0335
3411.00,1.0348
3410.00,1.0356
3409.00,1.0358
3408.00,1.0353
3407.00,1.0342
3406.00,1.0331
3405.00,1.0321
3404.00,1.0316
3403.00,1.0315
3402.00,1.0313
3401.00,1.0307
